5621-2022-06-05_Fete_Cantonale_Neuchateloise-ST

1a;Gapany Benjamin;***;;;;;;;;;58.5
-;;;Berger Dilan;;;;;;;;9.0
o;3;9.0;Maridor Loic;;16;54.0;5;8.5;2;-0.5;8.5
+;9;17.5;Berger Alan;;14;54.5;9;17.5;0;0.0;10.0
o;8;27.5;Gottofrey Luc;*;9;55.75;10;27.0;2;-0.5;8.5
+;11;36.0;Schweizer Jason;;15;54.25;9;36.5;-2;0.5;10.0
o;10;46.0;Sonnay Thomas;**;9;55.75;11;45.75;1;-0.25;8.5

14f;Minder Florian;**;;;;;;;;;54.5
o;;;Colò Kilian;**;;;;;;;8.5
+;5;8.5;Garcia José Luis;;23;52.25;2;9.75;-3;1.25;10.0
o;6;18.5;Ducrest Etienne;*;6;56.5;6;18.5;0;0.0;8.5
-;10;27.0;Mermillod Jérôme (2004);;14;54.5;11;26.75;1;-0.25;9.0
-;11;36.0;Varone Luc;*;13;54.75;11;36.0;0;0.0;8.75
+;15;44.75;Lauber Grégoire;;20;53.0;16;44.5;1;-0.25;9.75

14g;Mermillod Jérôme (2004);;;;;;;;;;54.5
o;;;Wieland Timon;;;;;;;;8.5
+;5;8.5;Zbinden Samuel;;21;52.75;4;8.75;-1;0.25;9.75
o;7;18.25;Theiler Nils (2004);;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Minder Florian;**;14;54.5;10;27.0;-1;0.25;9.0
o;12;35.75;Z'Rotz Roman;;17;53.75;13;35.5;1;-0.25;8.5
+;17;44.25;Cottier Marco;;17;53.75;13;45.25;-4;1.0;10.0
+;15;54.25;Vindefeldt Michael;;25;51.0;25;51.0;10;-3.25;0.25

14h;Loup Grégoire;;;;;;;;;;54.5
-;;;Bucher Roman;;;;;;;;8.75
-;4;8.75;Berger Dilan;;18;53.5;3;9.0;-1;0.25;8.75
+;9;17.5;Pochon Maël;;26;42.5;11;17.0;2;-0.5;9.75
o;9;27.25;Sturny Nicolas;**;9;55.75;9;27.25;0;0.0;8.5
+;12;35.75;Zryd Teo (2004);;17;53.75;13;35.5;1;-0.25;10.0
-;11;45.75;Clément Aurélien;;14;54.5;11;45.75;0;0.0;8.75

14i;Bucher Roman;;;;;;;;;;54.5
-;;;Loup Grégoire;;;;;;;;9.0
+;3;9.0;Heiniger Mickaël;;21;52.75;5;8.5;2;-0.5;10.0
o;4;19.0;Colò Kilian;**;5;56.75;6;18.5;2;-0.5;8.5
-;8;27.5;Wieland Timon;;17;53.75;10;27.0;2;-0.5;8.75
+;10;36.25;Tschanz Jeremy (2006);;15;54.25;8;36.75;-2;0.5;9.75
o;10;46.0;Gottofrey Luc;*;9;55.75;10;46.0;0;0.0;8.5

14j;Germanier Joel;;;;;;;;;;54.5
-;;;Bapst Ludovic;;;;;;;;9.0
o;3;9.0;Schweizer Jason;;15;54.25;5;8.5;2;-0.5;8.75
o;8;17.75;Ducry Antoine;**;9;55.75;8;17.75;0;0.0;8.5
+;12;26.25;Pochon Maël;;26;42.5;15;25.5;3;-0.75;10.0
+;10;36.25;Jaquier Simon (2004);;17;53.75;9;36.5;-1;0.25;9.75
o;10;46.0;Riedo Fredy;*;9;55.75;11;45.75;1;-0.25;8.5

14k;Clément Aurélien;;;;;;;;;;54.5
+;;;Gilgen Cédric (2004);;;;;;;;10.0
o;1;10.0;Ducrest Etienne;*;6;56.5;4;8.75;3;-1.25;8.5
o;6;18.5;Wieland Micha;;27;28.25;6;18.5;0;0.0;8.5
+;10;27.0;Reichenbach Ryan;;23;52.25;11;26.75;1;-0.25;10.0
o;7;37.0;Droxler Jonathan;**;10;55.5;8;36.75;1;-0.25;8.75
-;11;45.75;Loup Grégoire;;14;54.5;11;45.75;0;0.0;8.75

15a;Tissot Joffrey (2006);;;;;;;;;;54.25
o;;;Tschanz Jeremy (2006);;;;;;;;8.5
+;5;8.5;Flury Maxime;;23;52.25;5;8.5;0;0.0;10.0
o;6;18.5;Pasquier Loïc;;7;56.25;7;18.25;1;-0.25;8.5
-;10;27.0;Nicolet Bastien (2004);;15;54.25;10;27.0;0;0.0;8.75
+;12;35.75;Jonin Jérémy;;17;53.75;14;35.25;2;-0.5;9.75
-;12;45.5;Loup Alexandre;*;15;54.25;12;45.5;0;0.0;8.75

15b;Loup Alexandre;*;;;;;;;;;54.25
-;;;Dufey Gil;*;;;;;;;8.75
+;4;8.75;Jeannin Jess;;16;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Duplan Steve;***;3;57.25;6;18.5;1;-0.25;8.5
+;9;27.25;Gilgen Cédric (2004);;16;54.0;10;27.0;1;-0.25;9.75
o;7;37.0;Gottofrey Marc;**;8;56.0;5;37.5;-2;0.5;8.5
-;12;45.5;Tissot Joffrey (2006);;15;54.25;12;45.5;0;0.0;8.75

15c;Tschanz Jeremy (2006);;;;;;;;;;54.25
+;;;Tissot Joffrey (2006);;;;;;;;10.0
o;1;10.0;Riedo Fredy;*;9;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Siegenthaler Leo (2005);;10;55.5;7;18.25;1;-0.25;8.5
+;10;27.0;Röthlisberger Sven;;16;54.0;10;27.0;0;0.0;9.75
o;8;36.75;Bucher Roman;;14;54.5;10;36.25;2;-0.5;8.5
-;13;45.25;Nicolet Bastien (2004);;15;54.25;13;45.25;0;0.0;9.0

15d;Dufey Gil;*;;;;;;;;;54.25
-;;;Loup Alexandre;*;;;;;;;8.75
+;4;8.75;Tornare Paul;;11;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Balimann Sandro;*;5;56.75;5;18.75;-1;0.25;8.5
-;10;27.0;Chofflon Anthony;;10;55.5;5;28.25;-5;1.25;8.75
-;12;35.75;Merz Sascha;;19;53.25;12;35.75;0;0.0;8.75
+;16;44.5;Z'Rotz Roman;;17;53.75;13;45.25;-3;0.75;9.75

15e;Moos Loïc;;;;;;;;;;54.25
-;;;Zbinden Samuel;;;;;;;;8.75
o;4;8.75;Theiler Nils (2004);;12;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Vindefeldt Michael;;25;51.0;11;17.0;1;-0.25;10.0
o;9;27.25;Dubey Gaël;*;18;53.5;11;26.75;2;-0.5;8.5
+;12;35.75;Pansard Yann;;22;52.5;13;35.5;1;-0.25;10.0
o;11;45.75;Vonlanthen Alexandre;;11;55.25;12;45.5;1;-0.25;8.5

15f;Nicolet Bastien (2004);;;;;;;;;;54.25
+;;;Maitre Damien;;;;;;;;9.75
o;2;9.75;Dorsaz Théo;*;12;55.0;4;8.75;2;-1.0;8.5
-;7;18.25;Tissot Joffrey (2006);;15;54.25;6;18.5;-1;0.25;8.75
o;10;27.0;Schweizer Jason;;15;54.25;11;26.75;1;-0.25;8.5
+;13;35.5;Maridor Loic;;16;54.0;13;35.5;0;0.0;9.75
-;13;45.25;Tschanz Jeremy (2006);;15;54.25;13;45.25;0;0.0;9.0

15g;Schweizer Jason;;;;;;;;;;54.25
o;;;Jonin Jérémy;;;;;;;;8.5
+;5;8.5;Germanier Joel;;14;54.5;3;9.0;-2;0.5;9.75
o;7;18.25;Fankhauser Hans;*;11;55.25;7;18.25;0;0.0;8.5
+;11;26.75;Nicolet Bastien (2004);;15;54.25;10;27.0;-1;0.25;9.75
o;9;36.5;Fankhauser Tom (2006);;14;54.5;11;36.0;2;-0.5;8.75
-;13;45.25;Balimann Fabian;;17;53.75;15;44.75;2;-0.5;9.0

16a;Cochrane Benjamin;;;;;;;;;;54.0
o;;;Collaud Bastien (2005);;;;;;;;8.5
+;5;8.5;Pochon Maël;;26;42.5;5;8.5;0;0.0;10.0
o;6;18.5;Dind Samuel;**;12;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Garcia José Luis;;23;52.25;11;26.75;1;-0.25;10.0
o;7;37.0;Sonnay Thomas;**;9;55.75;12;35.75;5;-1.25;8.5
o;12;45.5;Chofflon Anthony;;10;55.5;12;45.5;0;0.0;8.5

16b;Jeannin Jess;;;;;;;;;;54.0
+;;;Althaus Thiben (2006);;;;;;;;9.75
o;2;9.75;Loup Alexandre;*;15;54.25;4;8.75;2;-1.0;8.5
o;7;18.25;Collaud Bastien (2005);;13;54.75;6;18.5;-1;0.25;8.5
+;11;26.75;Zryd Teo (2004);;17;53.75;10;27.0;-1;0.25;10.0
o;8;36.75;Bapst Ludovic;;13;54.75;11;36.0;3;-0.75;8.5
-;13;45.25;Jaquier Simon (2004);;17;53.75;14;45.0;1;-0.25;8.75

16c;Maridor Loic;;;;;;;;;;54.0
o;;;Portmann Fabio;;;;;;;;8.5
+;5;8.5;Fankhauser Tom (2006);;14;54.5;3;9.0;-2;0.5;10.0
o;6;18.5;Borcard Clovis;*;6;56.5;7;18.25;1;-0.25;8.5
o;10;27.0;Jaquier Simon (2004);;17;53.75;11;26.75;1;-0.25;8.5
o;13;35.5;Nicolet Bastien (2004);;15;54.25;13;35.5;0;0.0;8.5
+;18;44.0;Flury Maxime;;23;52.25;19;43.75;1;-0.25;10.0

16d;Gilgen Cédric (2004);;;;;;;;;;54.0
o;;;Clément Aurélien;;;;;;;;8.5
-;5;8.5;Berger Alan;;14;54.5;4;8.75;-1;0.25;8.75
+;10;17.25;Lauber Grégoire;;20;53.0;10;17.25;0;0.0;9.75
o;10;27.0;Loup Alexandre;*;15;54.25;9;27.25;-1;0.25;8.5
-;13;35.5;Zbinden Samuel;;21;52.75;13;35.5;0;0.0;8.75
+;17;44.25;Pansard Yann;;22;52.5;18;44.0;1;-0.25;9.75

16e;Röthlisberger Sven;;;;;;;;;;54.0
-;;;Monney Branighan;;;;;;;;8.75
+;4;8.75;Z'Rotz Roman;;17;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Sonnay Thomas;**;9;55.75;10;17.25;4;-1.25;8.5
o;10;27.0;Tschanz Jeremy (2006);;15;54.25;10;27.0;0;0.0;8.5
+;13;35.5;Berger Alan;;14;54.5;11;36.0;-2;0.5;10.0
o;12;45.5;Sturny Nicolas;**;9;55.75;11;45.75;-1;0.25;8.5

16f;Maitre Damien;;;;;;;;;;54.0
o;;;Nicolet Bastien (2004);;;;;;;;8.5
+;5;8.5;Fernandez Carlos;;22;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Varone Luc;*;13;54.75;9;17.5;3;-1.0;8.5
o;10;27.0;Fuchs Sylvain (2005);;14;54.5;9;27.25;-1;0.25;8.5
+;13;35.5;Reichenbach Ryan;;23;52.25;14;35.25;1;-0.25;10.0
o;12;45.5;Siegenthaler Leo (2005);;10;55.5;12;45.5;0;0.0;8.5

16g;Zryd Luca;;;;;;;;;;54.0
+;;;Flury Maxime;;;;;;;;10.0
o;1;10.0;Sturny Nicolas;**;9;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Pürro David;;6;56.5;6;18.5;0;0.0;8.5
o;10;27.0;Berger Sascha;;10;55.5;9;27.25;-1;0.25;8.5
+;13;35.5;Heiniger Mickaël;;21;52.75;15;34.25;2;-1.25;10.0
o;12;45.5;Fankhauser Hans;*;11;55.25;12;45.5;0;0.0;8.5

16h;Fuchs Yannick;;;;;;;;;;54.0
+;;;Glauser Matis (2005);;;;;;;;9.75
o;2;9.75;Emonet Frédéric;**;11;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Jaquier Simon (2004);;17;53.75;7;18.25;0;0.0;10.0
o;5;28.25;Balimann Sandro;*;5;56.75;4;28.5;-1;0.25;8.5
o;8;36.75;Ducry Antoine;**;9;55.75;8;36.75;0;0.0;8.5
-;13;45.25;Merz Sascha;;19;53.25;16;44.5;3;-0.75;8.75

17a;Jonin Jérémy;;;;;;;;;;53.75
+;;;Schweizer Jason;;;;;;;;9.75
o;2;9.75;Baeriswyl Christoph;**;6;56.5;4;8.75;2;-1.0;8.5
o;7;18.25;Chofflon Anthony;;10;55.5;7;18.25;0;0.0;8.5
o;11;26.75;Berger Alan;;14;54.5;13;26.0;2;-0.75;8.5
o;14;35.25;Tissot Joffrey (2006);;15;54.25;12;35.75;-2;0.5;8.5
+;19;43.75;Reichenbach Ryan;;23;52.25;19;43.75;0;0.0;10.0

17b;Jaquier Simon (2004);;;;;;;;;;53.75
+;;;Reichenbach Ryan;;;;;;;;9.75
o;2;9.75;Rogivue Théo;*;11;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Fuchs Yannick;;16;54.0;7;18.25;0;0.0;8.5
+;11;26.75;Maridor Loic;;16;54.0;10;27.0;-1;0.25;9.75
o;9;36.5;Germanier Joel;;14;54.5;10;36.25;1;-0.25;8.5
-;14;45.0;Jeannin Jess;;16;54.0;13;45.25;-1;0.25;8.75

17c;Balimann Fabian;;;;;;;;;;53.75
-;;;Martin Gaël (2004);;;;;;;;9.0
o;3;9.0;Zbinden Dario (2004);*;11;55.25;5;8.5;2;-0.5;8.75
+;8;17.75;Althaus Thiben (2006);;17;53.75;11;17.0;3;-0.75;10.0
o;7;27.75;Grossenbacher Simon;*;12;55.0;8;27.5;1;-0.25;8.5
o;10;36.25;Monney Branighan;;13;54.75;10;36.25;0;0.0;8.5
-;15;44.75;Schweizer Jason;;15;54.25;13;45.25;-2;0.5;9.0

17d;Wieland Timon;;;;;;;;;;53.75
+;;;Mermillod Jérôme (2004);;;;;;;;9.75
-;2;9.75;Ducry Antoine;**;9;55.75;4;8.75;2;-1.0;8.75
o;6;18.5;Cottier Marco;;17;53.75;6;18.5;0;0.0;8.5
-;10;27.0;Bucher Roman;;14;54.5;8;27.5;-2;0.5;8.75
-;12;35.75;Lauber Grégoire;;20;53.0;12;35.75;0;0.0;9.0
-;15;44.75;Berger Dilan;;18;53.5;16;44.5;1;-0.25;9.0

17e;Von Gunten Damien (2004);;;;;;;;;;53.75
o;;;Chofflon Anthony;;;;;;;;8.5
o;5;8.5;Pasquier Loïc;;7;56.25;5;8.5;0;0.0;8.5
o;11;17.0;Giuliani Johann;;17;53.75;11;17.0;0;0.0;8.5
+;15;25.5;Glauser Matis (2005);;24;51.25;14;25.75;-1;0.25;9.75
+;14;35.25;Vindefeldt Michael;;25;51.0;16;34.0;2;-1.25;10.0
o;13;45.25;Dorsaz Théo;*;12;55.0;13;45.25;0;0.0;8.5

17f;Cottier Marco;;;;;;;;;;53.75
+;;;Lauber Grégoire;;;;;;;;10.0
o;1;10.0;Droxler Jonathan;**;10;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Wieland Timon;;17;53.75;6;18.5;0;0.0;9.75
o;5;28.25;Rogivue Théo;*;11;55.25;4;28.5;-1;0.25;8.5
o;8;36.75;Mermillod Jérôme (2004);;14;54.5;12;35.75;4;-1.0;8.5
o;13;45.25;Perret Loïc;;12;55.0;13;45.25;0;0.0;8.5

17g;Z'Rotz Roman;;;;;;;;;;53.75
o;;;Tornare Paul;;;;;;;;8.5
o;5;8.5;Röthlisberger Sven;;16;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Zbinden Samuel;;21;52.75;10;17.25;-1;0.25;8.5
+;15;25.5;Heiniger Mickaël;;21;52.75;14;25.75;-1;0.25;10.0
+;13;35.5;Mermillod Jérôme (2004);;14;54.5;12;35.75;-1;0.25;9.75
o;13;45.25;Dufey Gil;*;15;54.25;16;44.5;3;-0.75;8.5

17h;Zryd Teo (2004);;;;;;;;;;53.75
+;;;Giuliani Johann;;;;;;;;10.0
o;1;10.0;Kramer Dorian;**;7;56.25;5;8.5;4;-1.5;8.5
o;6;18.5;Tornare Paul;;11;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Jeannin Jess;;16;54.0;11;26.75;1;-0.25;8.5
o;13;35.5;Loup Grégoire;;14;54.5;12;35.75;-1;0.25;8.5
+;18;44.0;Garcia José Luis;;23;52.25;19;43.75;1;-0.25;9.75

17i;Althaus Thiben (2006);;;;;;;;;;53.75
o;;;Jeannin Jess;;;;;;;;8.5
o;5;8.5;Aeschbacher Ivo;;14;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Balimann Fabian;;17;53.75;8;17.75;-3;0.75;8.5
o;15;25.5;Bapst Ludovic;;13;54.75;12;26.25;-3;0.75;8.5
+;16;34.0;Pochon Maël;;26;42.5;16;34.0;0;0.0;10.0
+;18;44.0;Fernandez Carlos;;22;52.5;18;44.0;0;0.0;9.75

17j;Giuliani Johann;;;;;;;;;;53.75
o;;;Zryd Teo (2004);;;;;;;;8.5
o;5;8.5;Berger Sascha;;10;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Von Gunten Damien (2004);;17;53.75;11;17.0;0;0.0;9.75
o;11;26.75;Perret Loïc;;12;55.0;11;26.75;0;0.0;8.5
+;14;35.25;Garcia José Luis;;23;52.25;14;35.25;0;0.0;10.0
o;13;45.25;Tornare Paul;;11;55.25;13;45.25;0;0.0;8.5

18a;Berger Dilan;;;;;;;;;;53.5
-;;;Fankhauser Tom (2006);;;;;;;;9.0
-;3;9.0;Loup Grégoire;;14;54.5;4;8.75;1;-0.25;8.75
+;8;17.75;Bapst Ludovic;;13;54.75;9;17.5;1;-0.25;9.75
o;8;27.5;Riedo Fredy;*;9;55.75;9;27.25;1;-0.25;8.5
o;11;36.0;Theiler Nils (2004);;12;55.0;9;36.5;-2;0.5;8.5
-;16;44.5;Wieland Timon;;17;53.75;15;44.75;-1;0.25;9.0

18b;Dubey Gaël;*;;;;;;;;;53.5
o;;;Borcard Clovis;*;;;;;;;8.5
o;5;8.5;Erb Vincent;;14;54.5;1;10.0;-4;1.5;8.5
+;11;17.0;Parvex Bryan;;28;26.75;7;18.25;-4;1.25;9.75
+;11;26.75;Moos Loïc;;15;54.25;9;27.25;-2;0.5;9.75
o;9;36.5;Crettaz Olivier;*;13;54.75;10;36.25;1;-0.25;8.5
o;14;45.0;Varone Luc;*;13;54.75;15;44.75;1;-0.25;8.5

19a;Merz Sascha;;;;;;;;;;53.25
o;;;Perret Loïc;;;;;;;;8.5
-;5;8.5;Lauber Grégoire;;20;53.0;5;8.5;0;0.0;8.75
-;10;17.25;Heiniger Mickaël;;21;52.75;11;17.0;1;-0.25;8.75
+;13;26.0;Flury Maxime;;23;52.25;15;25.5;2;-0.5;9.75
-;12;35.75;Dufey Gil;*;15;54.25;12;35.75;0;0.0;8.75
-;16;44.5;Fuchs Yannick;;16;54.0;13;45.25;-3;0.75;8.75

20a;Lauber Grégoire;;;;;;;;;;53.0
o;;;Cottier Marco;;;;;;;;8.5
-;5;8.5;Merz Sascha;;19;53.25;5;8.5;0;0.0;8.75
o;10;17.25;Gilgen Cédric (2004);;16;54.0;10;17.25;0;0.0;8.5
+;14;25.75;Vindefeldt Michael;;25;51.0;15;25.5;1;-0.25;10.0
-;12;35.75;Wieland Timon;;17;53.75;12;35.75;0;0.0;8.75
o;16;44.5;Minder Florian;**;14;54.5;15;44.75;-1;0.25;8.5

21a;Heiniger Mickaël;;;;;;;;;;52.75
o;;;Wieland Micha;;;;;;;;8.5
o;5;8.5;Bucher Roman;;14;54.5;3;9.0;-2;0.5;8.5
-;11;17.0;Merz Sascha;;19;53.25;10;17.25;-1;0.25;8.75
o;14;25.75;Z'Rotz Roman;;17;53.75;15;25.5;1;-0.25;8.5
o;15;34.25;Zryd Luca;;16;54.0;13;35.5;-2;1.25;8.5
+;20;42.75;Glauser Matis (2005);;24;51.25;20;42.75;0;0.0;10.0

21b;Zbinden Samuel;;;;;;;;;;52.75
-;;;Moos Loïc;;;;;;;;8.75
o;4;8.75;Mermillod Jérôme (2004);;14;54.5;5;8.5;1;-0.25;8.5
+;10;17.25;Z'Rotz Roman;;17;53.75;11;17.0;1;-0.25;9.75
o;10;27.0;Crettaz Olivier;*;13;54.75;12;26.25;2;-0.75;8.5
-;13;35.5;Gilgen Cédric (2004);;16;54.0;13;35.5;0;0.0;8.75
o;17;44.25;Berger Alan;;14;54.5;16;44.5;-1;0.25;8.5

22a;Fernandez Carlos;;;;;;;;;;52.5
o;;;Fuchs Sylvain (2005);;;;;;;;8.5
o;5;8.5;Maitre Damien;;16;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Glauser Matis (2005);;24;51.25;11;17.0;0;0.0;10.0
o;10;27.0;Schläfli Hugo;*;9;55.75;9;27.25;-1;0.25;8.5
o;13;35.5;Aeschbacher Ivo;;14;54.5;12;35.75;-1;0.25;8.5
o;18;44.0;Althaus Thiben (2006);;17;53.75;18;44.0;0;0.0;8.5

22b;Pansard Yann;;;;;;;;;;52.5
o;;;Vonlanthen Alexandre;;;;;;;;8.5
o;5;8.5;Monney Branighan;;13;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Flury Maxime;;23;52.25;11;17.0;0;0.0;10.0
o;10;27.0;Dorsaz Théo;*;12;55.0;10;27.0;0;0.0;8.5
o;13;35.5;Moos Loïc;;15;54.25;12;35.75;-1;0.25;8.5
o;18;44.0;Gilgen Cédric (2004);;16;54.0;17;44.25;-1;0.25;8.5

23a;Reichenbach Ryan;;;;;;;;;;52.25
o;;;Jaquier Simon (2004);;;;;;;;8.5
+;5;8.5;Vindefeldt Michael;;25;51.0;5;8.5;0;0.0;9.75
o;7;18.25;Kramer Dorian;**;7;56.25;7;18.25;0;0.0;8.5
o;11;26.75;Clément Aurélien;;14;54.5;10;27.0;-1;0.25;8.5
o;14;35.25;Maitre Damien;;16;54.0;13;35.5;-1;0.25;8.5
o;19;43.75;Jonin Jérémy;;17;53.75;19;43.75;0;0.0;8.5

23b;Garcia José Luis;;;;;;;;;;52.25
+;;;Vindefeldt Michael;;;;;;;;9.75
o;2;9.75;Minder Florian;**;14;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Portmann Fabio;;6;56.5;6;18.5;-1;0.25;8.5
o;11;26.75;Cochrane Benjamin;;16;54.0;10;27.0;-1;0.25;8.5
o;14;35.25;Giuliani Johann;;17;53.75;14;35.25;0;0.0;8.5
o;19;43.75;Zryd Teo (2004);;17;53.75;18;44.0;-1;0.25;8.5

23c;Flury Maxime;;;;;;;;;;52.25
o;;;Zryd Luca;;;;;;;;8.5
o;5;8.5;Tissot Joffrey (2006);;15;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Pansard Yann;;22;52.5;11;17.0;0;0.0;8.5
o;15;25.5;Merz Sascha;;19;53.25;13;26.0;-2;0.5;8.5
+;16;34.0;Glauser Matis (2005);;24;51.25;15;34.25;-1;0.25;9.75
o;19;43.75;Maridor Loic;;16;54.0;18;44.0;-1;0.25;8.5

24a;Glauser Matis (2005);;;;;;;;;;51.25
o;;;Fuchs Yannick;;;;;;;;8.5
o;5;8.5;Parvex Bryan;;28;26.75;5;8.5;0;0.0;8.5
o;11;17.0;Fernandez Carlos;;22;52.5;11;17.0;0;0.0;8.75
o;14;25.75;Von Gunten Damien (2004);;17;53.75;15;25.5;1;-0.25;8.5
o;15;34.25;Flury Maxime;;23;52.25;16;34.0;1;-0.25;8.5
o;20;42.75;Heiniger Mickaël;;21;52.75;20;42.75;0;0.0;8.5

25a;Vindefeldt Michael;;;;;;;;;;51.0
o;;;Garcia José Luis;;;;;;;;8.5
o;5;8.5;Reichenbach Ryan;;23;52.25;5;8.5;0;0.0;8.5
o;11;17.0;Moos Loïc;;15;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Lauber Grégoire;;20;53.0;14;25.75;-1;0.25;8.5
o;16;34.0;Von Gunten Damien (2004);;17;53.75;14;35.25;-2;1.25;8.5
o;21;42.5;Mermillod Jérôme (2004);;14;54.5;17;44.25;-4;1.75;8.5

26a;Pochon Maël;;;;;;;;;;42.5
o;;;Cochrane Benjamin;;;;;;;;8.5
o;5;8.5;Martin Gaël (2004);;8;56.0;3;9.0;-2;0.5;8.5
o;11;17.0;Loup Grégoire;;14;54.5;9;17.5;-2;0.5;8.5
o;15;25.5;Germanier Joel;;14;54.5;12;26.25;-3;0.75;8.5
o;16;34.0;Althaus Thiben (2006);;17;53.75;16;34.0;0;0.0;8.5

27a;Wieland Micha;;;;;;;;;;28.25
+;;;Heiniger Mickaël;;;;;;;;10.0
o;1;10.0;Moser Steven;**;2;58.0;5;8.5;4;-1.5;8.5
+;6;18.5;Clément Aurélien;;14;54.5;6;18.5;0;0.0;9.75

28a;Parvex Bryan;;;;;;;;;;26.75
o;;;Erb Vincent;;;;;;;;8.5
+;5;8.5;Glauser Matis (2005);;24;51.25;5;8.5;0;0.0;9.75
o;7;18.25;Dubey Gaël;*;18;53.5;11;17.0;4;-1.25;8.5

